Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
24.08.,Carreno-Busta P.,3,,,,,,4,1,63%,74% (46/62),72% (26/36),100% (5/5),27% (19/70),56% (27/48),21% (3/14),30,42,63% (12/19),73% (72/98),39% (47/119),55% (119/217),6,0,100% (15/15),20% (3/15),60% (18/30),2272,[],"['1', '0']","['1', '0', '4', '1']",[],[],1.59
24.08.,Llamas Ruiz P.,0,,,,,,12,8,59%,73% (51/70),44% (21/48),79% (11/14),26% (16/62),28% (10/36),0% (0/5),32,61,56% (18/32),61% (72/119),27% (26/98),45% (98/217),4,1,80% (12/15),0% (0/15),40% (12/30),2416,[],[],[],[],[],2.52
19.08.,Baez S.,2,,,,,,3,2,71%,67% (40/60),38% (9/24),83% (10/12),46% (17/37),60% (12/20),71% (5/7),29,31,69% (11/16),58% (49/84),51% (29/57),55% (78/141),8,0,80% (8/10),50% (5/10),65% (13/20),"['1', '2', '2', '3', '6', '5']","['1', '0', '5', '2']",[],[],[],2.78
19.08.,Carreno-Busta P.,0,,,,,,1,2,65%,54% (20/37),40% (8/20),29% (2/7),33% (20/60),63% (15/24),17% (2/12),16,33,50% (12/24),49% (28/57),42% (35/84),45% (63/141),2,0,50% (5/10),20% (2/10),35% (7/20),"['2', '0', '3', '1']",[],[],[],[],1.46
17.08.,Carreno-Busta P.,2,,,,,,3,0,59%,83% (20/24),76% (13/17),0% (0/0),57% (17/30),55% (6/11),57% (4/7),15,9,100% (3/3),80% (33/41),56% (23/41),68% (56/82),5,0,100% (8/8),57% (4/7),80% (12/15),"['2', '0', '4', '0', '6', '0']","['4', '2']",[],[],[],1.31
17.08.,Nishioka Y.,0,,,,,,1,2,73%,43% (13/30),45% (5/11),43% (3/7),17% (4/24),24% (4/17),0% (0/0),9,33,67% (2/3),44% (18/41),20% (8/41),32% (26/82),5,2,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],19.5
05.08.,Riedi L.,2,,,,,,6,3,64%,82% (42/51),38% (11/29),75% (3/4),30% (13/44),44% (11/25),29% (2/7),29,27,92% (11/12),66% (53/80),35% (24/69),52% (77/149),7,0,91% (10/11),18% (2/11),55% (12/22),"['2', '1']","['6', '4']",[],[],[],2.81
05.08.,Carreno-Busta P.,0,,,,,,5,0,64%,70% (31/44),56% (14/25),71% (5/7),18% (9/51),62% (18/29),25% (1/4),20,7,50% (1/2),65% (45/69),34% (27/80),48% (72/149),3,0,82% (9/11),9% (1/11),45% (10/22),"['4', '4']",[],[],[],[],1.40
30.07.,Fils A.,2,,,,,,6,2,68%,72% (33/46),55% (12/22),83% (5/6),188 km/h,159 km/h,33% (13/39),54% (13/24),75% (3/4),28,39,80% (4/5),66% (45/68),41% (26/63),54% (71/131),4,0,90% (9/10),33% (3/9),63% (12/19),"['2', '0', '5', '1']","['2', '1']",[],[],[],1.38
30.07.,Carreno-Busta P.,0,,,,,,0,3,62%,67% (26/39),46% (11/24),25% (1/4),172 km/h,147 km/h,28% (13/46),45% (10/22),17% (1/6),10,24,56% (5/9),59% (37/63),34% (23/68),46% (60/131),6,0,67% (6/9),10% (1/10),37% (7/19),"['2', '5']",[],[],[],[],3.12
28.07.,Carreno-Busta P.,2,,,,,,7,4,50%,76% (32/42),50% (21/42),57% (4/7),177 km/h,147 km/h,26% (12/46),46% (18/39),50% (3/6),16,31,50% (3/6),63% (53/84),35% (29/84),49% (82/168),5,0,79% (11/14),21% (3/14),50% (14/28),[],"['4', '3']","['2', '1', '4', '3']",[],[],2.39
28.07.,Draxl L.,1,,,,,,9,8,54%,74% (34/46),54% (21/39),50% (3/6),189 km/h,153 km/h,24% (10/42),50% (21/42),43% (3/7),35,54,79% (11/14),65% (55/84),37% (31/84),51% (86/168),5,0,79% (11/14),21% (3/14),50% (14/28),"['2', '0', '6', '2']",[],"['3', '3']",[],[],1.59
13.06.,Onclin G.,2,,,,,,1,0,70%,80% (28/35),33% (5/15),60% (3/5),43% (12/28),61% (20/33),45% (5/11),66% (33/50),52% (32/61),59% (65/111),5,0,78% (7/9),56% (5/9),67% (12/18),"['1', '2', '3', '4', '5', '4']","['1', '0', '4', '1']",[],[],[],3.15
13.06.,Carreno-Busta P.,0,,,,,,2,7,46%,57% (16/28),39% (13/33),55% (6/11),20% (7/35),67% (10/15),40% (2/5),48% (29/61),34% (17/50),41% (46/111),5,0,44% (4/9),22% (2/9),33% (6/18),"['2', '0', '3', '1']",[],[],[],[],1.33
11.06.,Carreno-Busta P.,2,,,,,,5,0,66%,77% (24/31),69% (11/16),100% (2/2),28% (11/39),83% (20/24),36% (4/11),74% (35/47),49% (31/63),60% (66/110),8,0,100% (8/8),50% (4/8),75% (12/16),"['2', '0', '4', '0']","['4', '3', '6', '3']",[],[],[],1.20
11.06.,Barranco Cosano J.,0,,,,,,4,3,62%,72% (28/39),17% (4/24),64% (7/11),23% (7/31),31% (5/16),0% (0/2),51% (32/63),26% (12/47),40% (44/110),2,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],4.27
09.06.,Carreno-Busta P.,2,,,,,,4,5,71%,71% (42/59),54% (13/24),80% (4/5),29% (10/35),51% (19/37),50% (2/4),66% (55/83),40% (29/72),54% (84/155),5,0,91% (10/11),20% (2/10),57% (12/21),"['4', '3']","['2', '0']",[],[],[],1.69
09.06.,Droguet T.,0,,,,,,4,4,49%,71% (25/35),49% (18/37),50% (2/4),29% (17/59),46% (11/24),20% (1/5),60% (43/72),34% (28/83),46% (71/155),5,1,80% (8/10),9% (1/11),43% (9/21),"['5', '5']",[],[],[],[],2.07
03.06.,Yevseyev D.,2,,,,,,6,0,64%,79% (37/47),44% (12/27),71% (5/7),38% (19/50),51% (18/35),33% (4/12),66% (49/74),44% (37/85),54% (86/159),6,0,83% (10/12),33% (4/12),58% (14/24),"['2', '0', '7', '5']","['5', '5', '7', '5']",[],[],[],4.75
03.06.,Carreno-Busta P.,0,,,,,,1,3,59%,62% (31/50),49% (17/35),67% (8/12),21% (10/47),56% (15/27),29% (2/7),56% (48/85),34% (25/74),46% (73/159),4,0,67% (8/12),17% (2/12),42% (10/24),"['4', '5']","['1', '0']",[],[],[],1.16
28.05.,Tiafoe F.,3,,,,,,9,2,61%,83% (33/40),73% (19/26),0% (0/0),194 km/h,146 km/h,33% (17/52),61% (20/33),38% (5/13),37,19,81% (21/26),79% (52/66),44% (37/85),59% (89/151),8,0,100% (13/13),38% (5/13),69% (18/26),"['3', '2']","['1', '0', '6', '3']","['2', '0', '5', '1']",[],[],1.50
28.05.,Carreno-Busta P.,0,,,,,,2,3,61%,67% (35/52),39% (13/33),62% (8/13),178 km/h,152 km/h,18% (7/40),27% (7/26),0% (0/0),17,22,67% (10/15),56% (48/85),21% (14/66),41% (62/151),2,0,62% (8/13),0% (0/13),31% (8/26),[],[],[],[],[],2.65
25.05.,Carreno-Busta P.,3,,,,,,0,3,66%,72% (56/78),50% (20/40),71% (5/7),175 km/h,140 km/h,34% (20/58),58% (28/48),63% (5/8),40,33,66% (25/38),64% (76/118),45% (48/106),55% (124/224),8,0,88% (14/16),31% (5/16),59% (19/32),"['1', '0', '4', '1']","['2', '1']","['5', '5', '7', '5']",[],[],2.63
25.05.,Comesana F.,0,,,,,,7,3,55%,66% (38/58),42% (20/48),38% (3/8),193 km/h,159 km/h,28% (22/78),50% (20/40),29% (2/7),32,55,44% (11/25),55% (58/106),36% (42/118),45% (100/224),2,0,69% (11/16),13% (2/16),41% (13/32),[],"['2', '2']","['5', '4']",[],[],1.50
07.05.,Ugo Carabelli C.,2,,,,,,1,3,71%,60% (33/55),57% (13/23),0% (0/3),178 km/h,145 km/h,40% (21/52),43% (10/23),36% (4/11),32,31,100% (6/6),59% (46/78),41% (31/75),50% (77/153),5,0,75% (9/12),33% (4/12),54% (13/24),"['1', '0', '4', '1']",[],"['2', '2', '4', '2']",[],[],1.95
