Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,605/337,373/182,181/95,41/39,7/15,3/6
2024,8/8,1/3,7/4,-,0/1,-
2023,2/5,-,2/4,0/1,-,-
2022,37/25,11/9,19/8,5/4,2/3,0/1
2021,38/18,17/4,14/8,4/3,2/2,1/1
2020,23/14,7/4,9/5,7/5,-,-
2019,36/22,7/9,20/7,7/3,2/2,0/1
2018,34/26,14/10,19/12,0/1,1/2,0/1
2017,36/26,20/9,14/10,1/5,-,1/2
2016,44/27,21/13,15/10,7/2,0/2,1/0
2015,37/31,29/18,6/7,2/4,0/2,-
2014,33/28,29/18,2/7,2/2,0/1,-
2013,97/18,70/12,22/2,5/4,-,-
2012,9/12,8/8,-,1/4,-,-
2011,60/23,54/19,6/3,0/1,-,-
2010,55/28,39/24,16/4,-,-,-
2009,45/20,35/16,10/4,-,-,-
2008,10/3,10/3,-,-,-,-
2007,1/2,1/2,-,-,-,-
2006,0/1,0/1,-,-,-,-
