Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,173/148,41/30,116/113,-,11/4,5/1
2024,30/18,-,22/17,-,8/1,-
2023,32/22,1/1,29/20,-,2/1,-
2022,24/17,13/8,6/8,-,-,5/1
2021,14/4,-,14/4,-,-,-
2020,6/19,-,6/19,-,-,-
2019,32/28,10/8,21/19,-,1/1,-
2018,13/14,5/4,8/10,-,-,-
2017,16/16,11/7,5/8,-,0/1,-
2016,6/10,1/2,5/8,-,-,-
