Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,303/219,280/189,19/23,4/7,-,-
2024,1/6,1/6,-,-,-,-
2023,12/13,12/12,0/1,-,-,-
2022,29/26,24/19,1/1,4/6,-,-
2021,20/23,20/22,0/1,-,-,-
2020,11/17,9/12,2/4,0/1,-,-
2019,65/21,64/20,1/1,-,-,-
2018,26/13,26/13,-,-,-,-
2017,22/20,20/17,2/3,-,-,-
2016,32/25,32/22,0/3,-,-,-
2015,21/18,18/15,3/3,-,-,-
2014,35/20,29/16,6/4,-,-,-
2013,17/7,13/5,4/2,-,-,-
2011,3/1,3/1,-,-,-,-
2010,1/1,1/1,-,-,-,-
2009,7/4,7/4,-,-,-,-
2006,0/1,0/1,-,-,-,-
2005,1/1,1/1,-,-,-,-
2004,0/2,0/2,-,-,-,-
