Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,224/186,148/119,54/35,21/28,1/4,-
2024,17/15,10/9,7/3,0/1,0/2,-
2023,29/30,14/15,4/3,11/12,-,-
2022,29/35,23/23,1/3,5/8,0/1,-
2021,39/28,22/16,16/9,1/3,-,-
2020,37/21,25/15,12/5,0/1,-,-
2019,30/25,14/13,13/11,3/1,-,-
2018,26/17,23/13,1/1,1/2,1/1,-
2017,13/9,13/9,-,-,-,-
2016,4/6,4/6,-,-,-,-
