Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,38/27,32/22,-,-,-,6/5
2024,12/8,12/8,-,-,-,-
2023,22/15,16/10,-,-,-,6/5
2022,4/4,4/4,-,-,-,-
