Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,149/193,31/32,98/132,8/8,12/21,-
2024,14/16,3/3,11/12,0/1,-,-
2023,11/17,0/3,11/13,0/1,-,-
2022,15/10,-,15/10,-,-,-
2021,10/15,2/5,8/10,-,-,-
2020,2/3,1/1,1/2,-,-,-
2019,15/15,2/2,13/13,-,-,-
2018,16/20,7/5,9/15,-,-,-
2017,8/14,4/3,4/10,0/1,-,-
2016,7/14,-,3/11,-,4/3,-
2015,16/17,-,11/13,2/1,3/3,-
2014,9/13,4/5,3/7,-,2/1,-
2013,11/17,6/4,3/8,2/1,0/4,-
2012,7/12,-,4/6,0/1,3/5,-
2011,4/4,-,2/1,2/1,0/2,-
2010,2/4,-,0/1,2/1,0/2,-
2009,2/2,2/1,-,-,0/1,-
