Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,403/208,16/12,322/156,38/15,14/18,13/7
2024,2/1,-,2/1,-,-,-
2023,18/16,-,15/14,1/2,-,2/0
2022,29/14,-,27/12,2/2,-,-
2021,9/4,-,9/4,-,-,-
2019,1/11,0/2,1/7,-,0/2,-
2018,47/20,1/3,36/13,5/0,3/3,2/1
2017,44/18,-,39/13,2/1,2/2,1/2
2016,36/21,0/1,29/15,2/1,3/3,2/1
2015,25/22,-,15/17,6/2,3/2,1/1
2014,32/24,0/2,22/15,4/2,3/3,3/2
2013,38/17,1/1,22/12,13/1,0/3,2/0
2012,40/18,-,39/15,1/3,-,-
2011,50/11,5/0,45/11,-,-,-
2010,30/10,7/2,21/7,2/1,-,-
2009,2/1,2/1,-,-,-,-
