Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,44/83,7/11,35/67,2/5,-,-
2024,13/16,4/4,7/11,2/1,-,-
2023,7/18,-,7/16,0/2,-,-
2022,14/20,2/6,12/13,0/1,-,-
2021,4/16,-,4/16,-,-,-
2020,2/2,-,2/2,-,-,-
2019,4/11,1/1,3/9,0/1,-,-
