Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,20/18,3/4,8/6,1/1,-,8/7
2024,6/5,2/2,4/3,-,-,-
2023,9/7,1/2,4/3,1/1,-,3/1
2022,5/6,-,-,-,-,5/6
