Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,53/39,44/27,8/12,-,-,1/0
2024,38/21,30/11,7/10,-,-,1/0
2023,14/11,14/11,-,-,-,-
2022,1/3,0/1,1/2,-,-,-
2021,0/4,0/4,-,-,-,-
