Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,122/109,106/95,16/14,-,-,-
2024,2/6,2/6,-,-,-,-
2023,44/26,32/21,12/5,-,-,-
2022,23/21,22/20,1/1,-,-,-
2021,17/19,14/14,3/5,-,-,-
2020,4/7,4/7,-,-,-,-
2019,13/12,13/11,0/1,-,-,-
2018,16/14,16/12,0/2,-,-,-
2017,3/4,3/4,-,-,-,-
