Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,371/241,44/38,274/167,18/8,32/26,3/2
2024,23/21,2/4,20/13,-,1/4,-
2023,59/14,7/1,35/9,4/1,13/3,-
2022,21/8,18/4,3/4,-,-,-
2021,5/17,1/7,0/6,-,4/4,-
2020,3/6,-,3/6,-,-,-
2019,29/24,0/5,26/16,-,3/3,-
2018,39/25,5/7,29/15,3/1,0/1,2/1
2017,16/11,-,16/10,0/1,-,-
2016,36/28,2/3,30/19,0/1,3/4,1/1
2015,42/28,5/4,31/20,1/1,5/3,-
2014,27/16,-,19/15,8/1,-,-
2013,32/12,0/1,29/7,1/1,2/3,-
2012,24/16,4/2,18/12,1/1,1/1,-
2011,2/3,-,2/3,-,-,-
2010,8/6,-,8/6,-,-,-
2009,5/6,-,5/6,-,-,-
