Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,57/69,42/50,10/12,5/7,-,-
2024,3/4,3/3,-,0/1,-,-
2023,8/7,5/5,3/2,-,-,-
2022,3/7,2/5,1/2,-,-,-
2021,10/14,7/10,2/2,1/2,-,-
2020,9/8,6/5,2/2,1/1,-,-
2019,16/15,11/8,2/4,3/3,-,-
2018,3/5,3/5,-,-,-,-
2017,1/1,1/1,-,-,-,-
2016,2/6,2/6,-,-,-,-
2015,1/1,1/1,-,-,-,-
2014,1/1,1/1,-,-,-,-
