Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,685/467,640/392,44/63,1/2,0/9,0/1
2024,31/15,30/11,1/3,-,0/1,-
2023,30/30,26/23,4/6,-,-,0/1
2022,48/29,39/19,9/9,-,0/1,-
2021,38/23,35/16,2/5,1/1,0/1,-
2020,25/14,24/12,1/2,-,-,-
2019,48/30,47/27,1/2,-,0/1,-
2018,31/26,28/23,3/2,-,0/1,-
2017,27/29,25/21,2/7,-,0/1,-
2016,60/25,60/23,0/1,-,0/1,-
2015,42/26,40/23,2/2,-,0/1,-
2014,39/29,34/26,5/3,-,-,-
2013,45/27,44/24,1/3,-,-,-
2012,20/26,18/22,2/4,-,-,-
2011,41/27,41/24,0/2,-,0/1,-
2010,39/29,35/22,4/7,-,-,-
2009,53/26,52/25,1/1,-,-,-
2008,41/31,35/26,6/4,0/1,-,-
2007,25/22,25/22,-,-,-,-
2006,2/2,2/2,-,-,-,-
2005,0/1,0/1,-,-,-,-
