Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,58/68,58/64,0/4,-,-,-
2024,17/21,17/20,0/1,-,-,-
2023,14/21,14/19,0/2,-,-,-
2022,23/22,23/21,0/1,-,-,-
2021,4/4,4/4,-,-,-,-
