Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,40/56,39/55,1/1,-,-,-
2024,18/22,18/22,-,-,-,-
2023,14/23,14/23,-,-,-,-
2022,6/8,5/7,1/1,-,-,-
2021,2/2,2/2,-,-,-,-
2020,0/1,0/1,-,-,-,-
