Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,428/256,125/69,214/136,52/32,32/16,5/3
2024,38/15,10/4,14/9,4/0,10/2,-
2023,46/29,5/6,29/13,2/3,9/5,1/2
2022,39/27,2/6,21/12,6/4,7/4,3/1
2021,34/27,9/7,13/16,12/4,-,-
2020,26/28,5/4,17/20,3/4,-,1/0
2019,45/16,12/4,22/7,5/1,6/4,-
2018,40/20,-,28/15,12/5,-,-
2017,48/24,18/8,27/12,3/4,-,-
2016,28/28,18/9,9/14,1/4,0/1,-
2015,50/24,31/11,15/10,4/3,-,-
2014,33/15,14/7,19/8,-,-,-
2013,1/3,1/3,-,-,-,-
