Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.08.,La Serna J. M.,2,,,,,,"['2', '1', '6', '3']",[],"['2', '0', '6', '2']",[],[],1.26
27.08.,Escurra Isnardi H. J.,1,,,,,,[],"['2', '1']",[],[],[],3.54
26.08.,Escurra Isnardi H. J.,2,,,,,,[],[],[],[],[],1.36
26.08.,Scramin do Lago J. V.,0,,,,,,[],[],[],[],[],2.94
25.06.,Couacaud E.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.05
25.06.,Escurra Isnardi H. J.,0,,,,,,[],[],[],[],[],7.80
18.03.,Villanueva G.,2,,,,,,2,0,82%,78% (39/50),73% (8/11),100% (1/1),26% (11/42),70% (16/23),40% (2/5),77% (47/61),42% (27/65),59% (74/126),9,0,100% (10/10),22% (2/9),63% (12/19),[],"['2', '0', '5', '1']",[],[],[],1.05
18.03.,Escurra Isnardi H. J.,0,,,,,,10,3,65%,74% (31/42),30% (7/23),60% (3/5),22% (11/50),27% (3/11),0% (0/1),58% (38/65),23% (14/61),41% (52/126),1,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],8.10
12.03.,Aguilar Cardozo J.,2,,,,,,"['1', '0']","['2', '0', '4', '0']","['1', '0', '3', '0']",[],[],1.19
12.03.,Escurra Isnardi H. J.,1,,,,,,"['2', '2']",[],[],[],[],4.28
26.02.,Strode E.,2,,,,,,"['3', '1']",[],"['3', '1', '5', '1']",[],[],1.33
26.02.,Escurra Isnardi H. J.,1,,,,,,[],"['5', '3']",[],[],[],3.09
12.02.,McKennon M.,2,,,,,,"['3', '2']","['1', '0', '5', '4']",[],[],[],1.28
12.02.,Escurra Isnardi H. J.,0,,,,,,[],"['4', '4']",[],[],[],3.40
04.02.,Osorio J. S.,2,,,,,,"['5', '3']","['5', '4']",[],[],[],1.57
04.02.,Escurra Isnardi H. J.,0,,,,,,[],[],[],[],[],2.28
24.11.2024,Kestelboim M.,2,,,,,,1,1,53%,83% (19/23),80% (16/20),100% (2/2),40% (16/40),64% (16/25),44% (4/9),81% (35/43),49% (32/65),62% (67/108),8,0,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '6', '3']","['3', '1', '5', '1']",[],[],[],1.35
24.11.2024,Escurra Isnardi H. J.,0,,,,,,1,6,62%,60% (24/40),36% (9/25),56% (5/9),17% (4/23),20% (4/20),0% (0/2),51% (33/65),19% (8/43),38% (41/108),2,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],3.04
18.11.2024,Villanueva G.,2,,,,,,2,0,75%,68% (50/74),44% (11/25),57% (4/7),24% (12/50),53% (19/36),56% (5/9),62% (61/99),36% (31/86),50% (92/185),7,0,80% (12/15),31% (5/16),55% (17/31),"['4', '5']","['4', '3', '6', '5']","['3', '2', '6', '3']",[],[],1.19
18.11.2024,Escurra Isnardi H. J.,1,,,,,,17,5,58%,76% (38/50),47% (17/36),44% (4/9),32% (24/74),56% (14/25),43% (3/7),64% (55/86),38% (38/99),50% (93/185),3,1,69% (11/16),20% (3/15),45% (14/31),"['4', '2', '6', '4']","['4', '4']",[],[],[],4.32
