Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,101/104,73/72,14/22,-,-,14/10
2024,18/23,12/14,6/9,-,-,-
2023,27/27,21/21,4/5,-,-,2/1
2022,34/25,22/15,0/1,-,-,12/9
2021,12/13,8/7,4/6,-,-,-
2020,0/2,0/1,0/1,-,-,-
2019,2/4,2/4,-,-,-,-
2018,7/9,7/9,-,-,-,-
2017,1/1,1/1,-,-,-,-
