Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,504/370,170/124,143/110,136/98,33/25,22/13
2024,17/16,9/6,6/8,1/1,0/1,1/0
2023,35/25,6/6,17/11,5/4,7/2,0/2
2022,30/26,6/5,6/11,13/6,2/3,3/1
2021,28/24,3/5,10/9,10/6,5/3,0/1
2020,23/13,5/2,13/6,3/5,-,2/0
2019,26/29,6/10,5/10,11/5,3/3,1/1
2018,39/32,12/9,18/12,8/6,1/3,0/2
2017,54/27,19/10,7/6,17/9,7/2,4/0
2016,45/28,21/12,18/8,5/6,0/1,1/1
2015,43/28,13/14,10/6,12/7,2/1,6/0
2014,39/28,20/13,8/6,9/8,2/1,-
2013,36/21,11/2,6/7,18/9,0/1,1/2
2012,42/30,14/12,9/4,14/11,3/1,2/2
2011,29/20,10/7,10/6,7/6,1/1,1/0
2010,6/7,6/2,-,0/2,0/2,0/1
2009,5/8,3/3,-,2/5,-,-
2008,7/8,6/6,-,1/2,-,-
