Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,43/30,7/11,30/14,6/5,-,-
2024,33/21,7/8,22/10,4/3,-,-
2023,10/6,-,8/4,2/2,-,-
2018,0/3,0/3,-,-,-,-
