Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,119/49,101/37,12/7,1/3,5/2,-
2024,31/18,21/10,4/3,1/3,5/2,-
2023,57/16,51/13,6/3,-,-,-
2022,25/7,25/7,-,-,-,-
2021,4/4,2/3,2/1,-,-,-
2020,2/4,2/4,-,-,-,-
