Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,29/53,9/19,10/12,-,-,10/22
2024,6/8,5/7,1/1,-,-,-
2023,7/19,2/5,2/3,-,-,3/11
2022,14/24,2/7,5/6,-,-,7/11
2021,2/2,-,2/2,-,-,-
