Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,296/146,206/101,26/36,8/6,-,56/3
2024,51/17,25/12,-,3/3,-,23/2
2023,63/18,42/15,2/2,1/1,-,18/0
2022,37/16,24/11,1/3,2/1,-,10/1
2021,31/12,26/11,0/1,-,-,5/0
2020,32/39,13/14,19/25,-,-,-
2019,40/24,39/22,1/2,-,-,-
2018,28/16,23/12,3/3,2/1,-,-
2017,14/4,14/4,-,-,-,-
