Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES :  Guangzhou 2 (China),hard,header
10.09. 07:40,Uchida K.,1,6,2,2,,,3,1,61%,72% (39/54),31% (11/35),33% (2/6),16% (8/51),62% (18/29),25% (1/4),7,56% (50/89),33% (26/80),45% (76/169),3,69% (9/13),8% (1/13),38% (10/26),"['3', '2']",[],[],[],[],1.32
10.09. 07:40,Leong M. W. K.,2,4,6,6,,,13,8,64%,84% (43/51),38% (11/29),75% (3/4),28% (15/54),69% (24/35),67% (4/6),6,68% (54/80),44% (39/89),55% (93/169),7,92% (12/13),31% (4/13),62% (16/26),[],"['4', '2', '6', '2']","['2', '0', '6', '2']",[],[],3.24
CHALLENGER MEN - SINGLES :  Shanghai (China) - Qualification,hard,header
01.09. 16:40,Uchida K.,1,6,1,4,,,4,3,66%,68% (30/44),39% (9/23),33% (2/6),27% (14/51),58% (14/24),60% (3/5),5,58% (39/67),37% (28/75),47% (67/142),3,67% (8/12),23% (3/13),44% (11/25),"['1', '0', '5', '2']",[],"['2', '0']",[],[],1.80
01.09. 16:40,Rai A.,2,2,6,6,,,13,3,68%,73% (37/51),42% (10/24),40% (2/5),32% (14/44),61% (14/23),67% (4/6),7,63% (47/75),42% (28/67),53% (75/142),5,77% (10/13),33% (4/12),56% (14/25),[],"['2', '0', '5', '1']","['2', '3', '4', '3']",[],[],1.91
CHALLENGER MEN - SINGLES :  Zhangjiagang (China),hard,header
27.08. 18:15,Uchida K.,1,3,7^7,0,,,6,7,58%,71% (35/49),33% (12/36),29% (2/7),24% (12/51),39% (12/31),33% (1/3),4,55% (47/85),29% (24/82),43% (71/167),3,62% (8/13),7% (1/14),33% (9/27),[],"['4', '4']",[],[],[],2.29
27.08. 18:15,Sun F.,2,6,6^5,6,,,9,4,62%,76% (39/51),61% (19/31),67% (2/3),29% (14/49),67% (24/36),71% (5/7),6,71% (58/82),45% (38/85),57% (96/167),6,93% (13/14),38% (5/13),67% (18/27),"['5', '3']","['2', '1']","['2', '0', '4', '0', '6', '0']",[],[],1.59
CHALLENGER MEN - SINGLES :  Jinan (China),hard,header
20.08. 09:50,Uchida K.,1,6^9,6,6^9,,,9,10,52%,75% (48/64),53% (31/59),80% (4/5),32% (22/69),42% (22/52),30% (3/10),7,64% (79/123),36% (44/121),50% (123/244),5,94% (15/16),19% (3/16),56% (18/32),"['4', '3']","['4', '2', '6', '2']",[],[],[],1.43
20.08. 09:50,Bradshaw J.,2,7^11,2,7^11,,,10,2,57%,68% (47/69),58% (30/52),70% (7/10),25% (16/64),47% (28/59),20% (1/5),6,64% (77/121),36% (44/123),50% (121/244),3,81% (13/16),6% (1/16),44% (14/32),"['5', '5']",[],[],[],[],2.73
CHALLENGER MEN - SINGLES :  Lexington (USA),hard,header
30.07. 08:20,Uchida K.,0,3,3,,,,3,7,45%,81% (22/27),42% (14/33),50% (3/6),25% (9/36),38% (8/21),0% (0/8),5,60% (36/60),30% (17/57),45% (53/117),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],4.74
30.07. 08:20,Fonseca J.,2,6,6,,,,7,0,63%,75% (27/36),62% (13/21),100% (8/8),19% (5/27),58% (19/33),50% (3/6),6,70% (40/57),40% (24/60),55% (64/117),5,100% (9/9),33% (3/9),67% (12/18),"['4', '3', '6', '3']","['3', '1']",[],[],[],1.17
CHALLENGER MEN - SINGLES :  Chicago (USA) - Qualification,hard,header
21.07. 20:45,Uchida K.,0,0,1,,,,1,4,49%,50% (10/20),29% (6/21),44% (4/9),28% (10/36),42% (8/19),0% (0/5),3,39% (16/41),33% (18/55),35% (34/96),1,17% (1/6),0% (0/7),8% (1/13),[],[],[],[],[],1.79
21.07. 20:45,Noguchi R.,2,6,6,,,,0,0,65%,72% (26/36),58% (11/19),100% (5/5),50% (10/20),71% (15/21),56% (5/9),6,67% (37/55),61% (25/41),65% (62/96),11,100% (7/7),83% (5/6),92% (12/13),"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0']",[],[],[],1.95
CHALLENGER MEN - SINGLES :  Granby (Canada),hard,header
16.07. 19:40,Uchida K.,1,3,7^7,1,,,7,5,64%,70% (39/56),32% (10/31),17% (1/6),16% (8/50),51% (22/43),20% (2/10),8,56% (49/87),32% (30/93),44% (79/180),3,62% (8/13),13% (2/15),36% (10/28),"['1', '0']","['2', '0']",[],[],[],2.66
16.07. 19:40,Sekulic P.,2,6,6^2,6,,,14,5,54%,84% (42/50),49% (21/43),80% (8/10),30% (17/56),68% (21/31),83% (5/6),13,68% (63/93),44% (38/87),56% (101/180),5,87% (13/15),38% (5/13),64% (18/28),"['2', '2', '4', '2']","['4', '5']","['3', '1', '5', '1']",[],[],1.45
CHALLENGER MEN - SINGLES :  Granby (Canada) - Qualification,hard,header
15.07. 22:25,Uchida K.,2,6,6,,,,1,1,60%,92% (23/25),59% (10/17),0% (0/0),46% (13/28),56% (15/27),67% (4/6),11,79% (33/42),48% (25/52),62% (58/94),4,100% (8/8),44% (4/9),71% (12/17),"['2', '1']","['1', '0', '4', '1', '6', '1']",[],[],[],1.17
15.07. 22:25,Pearson K.,0,4,1,,,,1,3,51%,57% (16/28),44% (12/27),33% (2/6),8% (2/25),41% (7/17),0% (0/0),4,52% (27/52),21% (9/42),38% (36/94),1,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],4.69
15.07. 03:30,Uchida K.,2,6,7^10,,,,2,5,55%,59% (23/39),44% (14/32),33% (3/9),36% (19/53),73% (29/40),39% (7/18),8,52% (37/71),52% (48/93),52% (85/164),4,45% (5/11),64% (7/11),55% (12/22),"['1', '1', '3', '1', '6', '4']","['2', '0', '3', '1', '4', '2', '6', '6']",[],[],[],1.13
15.07. 03:30,Weekes J.,0,4,6^8,,,,5,6,57%,64% (34/53),28% (11/40),61% (11/18),41% (16/39),56% (18/32),67% (6/9),5,48% (45/93),48% (34/71),48% (79/164),4,36% (4/11),55% (6/11),45% (10/22),"['1', '0', '2', '3']","['1', '2', '2', '3', '4', '5', '6', '5']",[],[],[],5.60
CHALLENGER MEN - SINGLES :  Winnipeg (Canada) - Qualification,hard,header
09.07. 01:50,Uchida K.,1,3,6,2,,,6,3,51%,79% (30/38),39% (14/36),33% (2/6),22% (13/59),61% (22/36),22% (2/9),5,59% (44/74),37% (35/95),47% (79/169),3,69% (9/13),14% (2/14),41% (11/27),"['1', '2']","['6', '4']",[],[],[],1.82
09.07. 01:50,Martin A.,2,6,4,6,,,12,8,62%,78% (46/59),39% (14/36),78% (7/9),21% (8/38),61% (22/36),67% (4/6),8,63% (60/95),41% (30/74),53% (90/169),3,86% (12/14),31% (4/13),59% (16/27),"['2', '0', '5', '3']",[],"['2', '1', '5', '2']",[],[],1.92
