Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,390/369,127/97,214/222,46/48,1/2,2/0
2024,35/22,16/6,14/16,5/0,-,-
2023,17/33,3/10,4/18,8/4,1/1,1/0
2022,35/34,8/5,24/23,3/6,-,-
2021,35/26,6/11,27/13,1/2,-,1/0
2020,14/11,1/2,10/5,3/4,-,-
2019,27/39,4/7,14/20,9/11,0/1,-
2018,37/38,2/2,31/28,4/8,-,-
2017,46/38,20/15,22/20,4/3,-,-
2016,51/33,38/19,8/9,5/5,-,-
2015,34/34,11/13,21/20,2/1,-,-
2014,32/26,18/7,14/18,0/1,-,-
2013,22/27,-,22/26,0/1,-,-
2012,3/6,-,1/5,2/1,-,-
2010,0/1,-,-,0/1,-,-
2008,2/1,-,2/1,-,-,-
