Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,24/21,2/2,17/15,-,-,5/4
2024,8/7,1/1,7/6,-,-,-
2023,11/7,1/1,10/6,-,-,-
2022,5/4,-,-,-,-,5/4
2021,0/3,-,0/3,-,-,-
