Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,32/33,-,5/7,3/2,-,24/24
2024,5/4,-,0/1,2/1,-,3/2
2023,20/12,-,3/2,1/1,-,16/9
2022,5/14,-,0/1,-,-,5/13
2021,2/3,-,2/3,-,-,-
