Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,254/110,109/50,75/36,1/7,2/3,67/14
2024,44/32,23/17,19/10,-,0/2,2/3
2023,47/26,25/13,13/7,1/5,2/1,6/0
2022,73/28,24/11,20/10,0/1,-,29/6
2021,80/12,34/5,16/2,-,-,30/5
2020,7/7,-,7/7,-,-,-
2019,3/5,3/4,-,0/1,-,-
