Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,565/359,481/287,68/58,4/4,2/5,10/5
2023,9/13,6/8,1/3,2/2,-,-
2022,17/17,16/14,1/2,-,0/1,-
2021,6/17,5/11,1/5,-,0/1,-
2020,24/18,21/13,2/4,0/1,-,1/0
2019,37/30,35/24,0/4,2/0,-,0/2
2018,45/31,44/29,0/1,-,-,1/1
2017,46/18,40/12,1/5,-,2/1,3/0
2016,82/25,78/22,3/2,-,-,1/1
2015,25/23,22/18,3/4,-,0/1,-
2014,1/4,0/2,1/2,-,-,-
2013,45/25,33/22,10/2,0/1,-,2/0
2012,42/26,37/24,5/1,-,0/1,-
2011,48/27,41/25,7/2,-,-,-
2010,38/25,33/22,4/3,-,-,1/0
2009,57/30,41/23,16/7,-,-,-
2008,30/15,19/7,11/8,-,-,-
2007,2/7,1/7,-,-,-,1/0
2006,9/6,7/2,2/3,-,-,0/1
2003,2/2,2/2,-,-,-,-
