https://www.tennisexplorer.com/res/img/player/6u5VnpaR-txzDfNHp.jpeg
Kalovelonis Markos
Country: Greece
Height / Weight: 191 cm / 90 kg
Age: 30 (18. 5. 1994)
Current/Highest rank - singles: 1277. / 445.
Current/Highest rank - doubles: 268. / 178.
Sex: man
Plays: right
