Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,182/149,6/10,169/132,-,7/7,-
2024,25/23,-,25/22,-,0/1,-
2023,36/36,3/7,33/27,-,0/2,-
2022,13/19,-,13/19,-,-,-
2021,41/15,-,41/15,-,-,-
2020,29/25,-,27/23,-,2/2,-
2019,10/8,-,10/8,-,-,-
2018,16/13,3/3,8/8,-,5/2,-
2017,12/10,-,12/10,-,-,-
