Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,617/540,288/218,159/161,138/121,31/39,1/1
2024,10/24,2/9,4/8,3/5,1/2,-
2023,47/38,29/17,13/12,5/8,0/1,-
2022,16/32,6/15,7/13,3/2,0/2,-
2021,14/34,7/15,6/12,1/5,0/2,-
2020,13/22,1/3,11/15,1/4,-,-
2019,42/34,21/9,11/14,7/7,3/3,0/1
2018,36/35,6/10,14/12,11/8,4/5,1/0
2017,37/35,14/11,9/11,8/8,6/5,-
2016,29/35,10/11,10/13,8/9,1/2,-
2015,66/31,21/10,12/8,32/10,1/3,-
2014,15/20,4/9,11/8,-,0/3,-
2013,40/31,13/10,14/10,10/8,3/3,-
2012,35/32,13/11,10/12,7/7,5/2,-
2011,53/37,37/21,1/4,15/10,0/2,-
2010,58/34,33/20,17/2,7/10,1/2,-
2009,58/30,35/15,5/3,14/11,4/1,-
2008,35/28,25/19,4/4,4/4,2/1,-
2007,13/8,11/3,-,2/5,-,-
