Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES :  Como (Italy),clay,header
27.08. 17:05,Bertola R.,0,3,,,,,1,0,54%,71% (5/7),33% (2/6),50% (1/2),33% (3/9),67% (10/15),50% (2/4),3,54% (7/13),54% (13/24),54% (20/37),2,50% (1/2),67% (2/3),60% (3/5),"['1', '0', '3', '2']",[],[],[],[],1.54
27.08. 17:05,Paire B.,0,2,,,,,2,2,38%,67% (6/9),33% (5/15),50% (2/4),29% (2/7),67% (4/6),50% (1/2),2,46% (11/24),46% (6/13),46% (17/37),2,33% (1/3),50% (1/2),40% (2/5),"['1', '1']",[],[],[],[],2.40
ATP - SINGLES :  US Open (USA) - Qualification,hard,header
19.08. 23:55,Paire B.,1,7^7,6^2,4,,,12,9,46%,78% (47/60),46% (32/70),70% (7/10),28% (19/68),51% (36/71),14% (2/14),7,61% (79/130),39% (55/140),50% (134/270),3,82% (14/17),12% (2/17),47% (16/34),"['3', '1']",[],"['2', '4']",[],[],2.77
19.08. 23:55,Tseng C. H.,2,6^3,7^7,6,,,5,11,49%,72% (49/68),49% (35/71),86% (12/14),22% (13/60),54% (38/70),30% (3/10),8,61% (85/140),39% (51/130),50% (136/270),4,88% (15/17),18% (3/17),53% (18/34),"['3', '4']",[],"['2', '1', '4', '1']",[],[],1.43
CHALLENGER MEN - SINGLES :  Grodzisk Mazowiecki (Poland),hard,header
14.08. 20:40,Paire B.,1,6,6^2,6^3,,,15,13,53%,82% (51/62),34% (19/56),50% (4/8),36% (27/75),44% (25/57),26% (5/19),7,59% (70/118),39% (52/132),49% (122/250),3,76% (13/17),29% (5/17),53% (18/34),"['2', '1', '5', '2']","['1', '0', '4', '5']","['3', '1']",[],[],1.63
14.08. 20:40,Gombos N.,2,4,7^7,7^7,,,5,2,57%,64% (48/75),56% (32/57),74% (14/19),18% (11/62),66% (37/56),50% (4/8),7,61% (80/132),41% (48/118),51% (128/250),3,71% (12/17),24% (4/17),47% (16/34),"['3', '5']","['1', '1', '4', '2']","['4', '5']",[],[],2.21
13.08. 22:40,Paire B.,2,6,6,,,,9,5,51%,81% (22/27),46% (12/26),50% (1/2),27% (6/22),58% (15/26),100% (4/4),6,64% (34/53),44% (21/48),54% (55/101),4,89% (8/9),44% (4/9),67% (12/18),"['2', '2', '6', '4']","['4', '2', '6', '2']",[],[],[],2.59
13.08. 22:40,Skatov T.,0,4,2,,,,1,8,46%,73% (16/22),42% (11/26),0% (0/4),19% (5/27),54% (14/26),50% (1/2),5,56% (27/48),36% (19/53),46% (46/101),2,56% (5/9),11% (1/9),33% (6/18),"['1', '0']",[],[],[],[],1.47
