Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,204/274,12/28,179/216,13/30,-,-
2024,1/6,1/4,0/2,-,-,-
2023,1/8,0/1,1/5,0/2,-,-
2022,13/28,0/1,13/23,0/4,-,-
2021,9/25,0/1,9/24,-,-,-
2020,13/14,0/1,13/13,-,-,-
2019,20/14,4/5,16/9,-,-,-
2018,19/18,1/4,14/12,4/2,-,-
2017,15/21,3/3,12/18,-,-,-
2016,23/13,-,23/13,-,-,-
2015,20/26,3/5,16/18,1/3,-,-
2014,19/22,-,17/18,2/4,-,-
2013,21/21,0/1,20/16,1/4,-,-
2012,10/17,-,7/11,3/6,-,-
2011,11/13,-,11/11,0/2,-,-
2010,7/14,0/1,6/12,1/1,-,-
2009,2/12,0/1,1/9,1/2,-,-
2007,0/1,-,0/1,-,-,-
2005,0/1,-,0/1,-,-,-
