https://www.tennisexplorer.com/res/img/player/44pmCwcA-8OL935mN.jpeg
Zhang Zhizhen
Country: China
Height / Weight: 193 cm / 87 kg
Age: 27 (16. 10. 1996)
Current/Highest rank - singles: 41. / 31.
Current/Highest rank - doubles: 47. / 47.
Sex: man
Plays: right
