Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,324/259,126/85,161/139,21/20,12/13,4/2
2024,23/23,9/7,7/9,2/2,4/4,1/1
2023,35/31,15/10,12/15,6/2,2/4,-
2022,52/28,29/11,11/5,9/11,1/1,2/0
2021,15/12,9/6,1/1,0/1,5/4,-
2020,1/6,-,1/6,-,-,-
2019,34/22,7/3,27/17,0/1,-,0/1
2018,25/28,13/11,9/15,3/2,-,-
2017,31/25,1/3,29/22,-,-,1/0
2016,9/17,6/10,3/7,-,-,-
2015,43/24,18/9,25/15,-,-,-
2014,27/17,8/4,19/13,-,-,-
2013,13/13,6/7,6/5,1/1,-,-
2012,16/13,5/4,11/9,-,-,-
