Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,49/39,-,32/25,15/10,2/4,-
2024,17/10,-,17/10,-,-,-
2023,14/13,-,7/5,6/6,1/2,-
2022,18/16,-,8/10,9/4,1/2,-
