https://www.tennisexplorer.com/res/img/player/b5trXmbA-OOiIMbzd.jpeg
Raggi Angelica
Country: Italy
Age: 25 (14. 11. 1998)
Current/Highest rank - singles: 835. / 515.
Current/Highest rank - doubles: 1048. / 683.
Sex: woman
Plays: right
