Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,42/13,11/8,10/3,-,-,21/2
2024,11/6,11/6,-,-,-,-
2023,23/3,0/1,6/1,-,-,17/1
2022,4/1,-,-,-,-,4/1
2021,4/2,-,4/2,-,-,-
2019,0/1,0/1,-,-,-,-
