Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,42/51,28/27,9/19,-,-,5/5
2024,4/7,3/4,1/3,-,-,-
2023,5/3,-,-,-,-,5/3
2022,0/2,-,-,-,-,0/2
2018,18/14,15/8,3/6,-,-,-
2017,4/11,4/5,0/6,-,-,-
2016,7/9,2/5,5/4,-,-,-
2015,4/5,4/5,-,-,-,-
