Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,322/228,240/160,53/38,29/29,-,0/1
2024,50/24,50/24,-,-,-,-
2023,29/27,19/16,3/6,7/5,-,-
2022,33/34,25/23,8/7,0/4,-,-
2021,40/28,32/21,4/4,4/3,-,-
2020,28/20,9/9,16/8,3/2,-,0/1
2019,41/27,28/20,7/3,6/4,-,-
2018,32/20,30/18,0/1,2/1,-,-
2017,41/19,32/14,7/3,2/2,-,-
2016,6/8,4/5,2/2,0/1,-,-
2015,0/2,-,-,0/2,-,-
2014,22/19,11/10,6/4,5/5,-,-
