Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,15/19,12/11,-,3/8,-,-
2024,10/7,10/7,-,-,-,-
2023,2/3,1/2,-,1/1,-,-
2022,1/1,1/0,-,0/1,-,-
2019,0/1,-,-,0/1,-,-
2018,0/3,0/2,-,0/1,-,-
2017,0/2,-,-,0/2,-,-
2016,1/1,-,-,1/1,-,-
2015,1/1,-,-,1/1,-,-
