https://www.tennisexplorer.com/res/img/player/jVhox0xG-t0jzrzdH.jpeg
Danilina Anna
Country: Kazakhstan
Height: 178 cm
Age: 29 (20. 8. 1995)
Current/Highest rank - singles: 724. / 269.
Current/Highest rank - doubles: 34. / 10.
Sex: woman
Plays: right
