Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,29/27,17/18,8/4,4/5,-,-
2024,15/15,9/12,3/2,3/1,-,-
2023,12/9,7/4,5/2,0/3,-,-
2022,2/2,1/2,-,1/0,-,-
2021,0/1,-,-,0/1,-,-
