Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,56/62,12/19,44/43,-,-,-
2024,26/13,-,26/13,-,-,-
2023,14/18,0/1,14/17,-,-,-
2022,11/20,7/8,4/12,-,-,-
2021,5/8,5/7,0/1,-,-,-
2020,0/2,0/2,-,-,-,-
2019,0/1,0/1,-,-,-,-
