Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Ningbo (China),hard,header
16.10. 14:50,Kasatkina D.,2,1,6,6,,,0,5,68%,63% (34/54),40% (10/25),67% (10/15),47% (27/57),48% (16/33),43% (6/14),8,56% (45/81),48% (43/90),51% (88/171),6,58% (7/12),50% (6/12),54% (13/24),[],"['1', '1', '2', '2', '4', '2']","['1', '2', '3', '2', '5', '2']",[],[],1.65
16.10. 14:50,Siniakova K.,1,6,3,2,,,1,6,63%,53% (30/57),52% (17/33),57% (8/14),37% (20/54),60% (15/25),33% (5/15),7,52% (47/90),44% (36/81),49% (83/171),5,50% (6/12),42% (5/12),46% (11/24),"['2', '0', '4', '0']","['1', '0', '2', '1']","['2', '0']",[],[],2.26
WTA - SINGLES :  Wuhan (China),hard,header
10.10. 08:40,Kasatkina D.,0,2,3,,,,0,5,60%,52% (14/27),39% (7/18),17% (1/6),39% (15/38),37% (7/19),100% (2/2),6,47% (21/45),39% (22/57),42% (43/102),2,38% (3/8),22% (2/9),29% (5/17),"['2', '3']","['1', '2']",[],[],[],1.59
10.10. 08:40,Linette M.,2,6,6,,,,1,0,67%,61% (23/38),63% (12/19),0% (0/2),48% (13/27),61% (11/18),83% (5/6),6,61% (35/57),53% (24/45),58% (59/102),5,78% (7/9),63% (5/8),71% (12/17),"['3', '1', '4', '2', '6', '2']","['2', '0', '4', '2']",[],[],[],2.40
09.10. 08:35,Kasatkina D.,2,6,1,6,,,5,5,65%,73% (29/40),45% (10/22),25% (1/4),38% (15/40),50% (16/32),50% (4/8),6,63% (39/62),43% (31/72),52% (70/134),3,75% (9/12),33% (4/12),54% (13/24),"['4', '3', '5', '4']",[],"['2', '0', '5', '1']",[],[],1.33
09.10. 08:35,Pera B.,1,4,6,1,,,2,4,56%,63% (25/40),50% (16/32),50% (4/8),28% (11/40),55% (12/22),75% (3/4),8,57% (41/72),37% (23/62),48% (64/134),3,67% (8/12),25% (3/12),46% (11/24),"['4', '4']","['2', '0', '5', '1']",[],[],[],3.39
WTA - SINGLES :  Beijing (China),hard,header
30.09. 15:25,Kasatkina D.,0,6^1,4,,,,2,7,76%,64% (38/59),21% (4/19),56% (5/9),36% (20/56),50% (11/22),33% (3/9),7,54% (42/78),40% (31/78),47% (73/156),2,64% (7/11),27% (3/11),45% (10/22),"['2', '3', '5', '4']","['1', '1']",[],[],[],1.79
30.09. 15:25,Anisimova A.,2,7^7,6,,,,0,5,72%,64% (36/56),50% (11/22),67% (6/9),36% (21/59),79% (15/19),44% (4/9),10,60% (47/78),46% (36/78),53% (83/156),3,73% (8/11),36% (4/11),55% (12/22),"['3', '1', '5', '5']","['1', '0', '5', '4']",[],[],[],2.02
28.09. 08:40,Kasatkina D.,2,6,6,,,,2,4,59%,67% (18/27),42% (8/19),67% (4/6),56% (19/34),68% (15/22),64% (7/11),6,57% (26/46),61% (34/56),59% (60/102),8,71% (5/7),88% (7/8),80% (12/15),"['1', '0', '2', '1', '4', '1', '6', '1']","['2', '0', '5', '1', '6', '2']",[],[],[],1.10
