Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,283/289,72/97,171/175,5/5,2/4,33/8
2024,5/3,-,5/3,-,-,-
2023,18/1,1/1,-,-,-,17/0
2022,11/8,0/2,3/2,-,-,8/4
2021,20/19,-,20/19,-,-,-
2020,3/4,-,3/2,-,-,0/2
2019,6/6,1/2,3/4,-,-,2/0
2018,8/11,1/4,5/7,-,-,2/0
2017,26/19,4/3,17/15,2/1,-,3/0
2016,18/17,5/5,11/10,2/2,-,-
2015,18/18,6/5,12/13,-,-,-
2014,25/18,16/10,9/8,-,-,-
2013,18/16,0/1,18/15,-,-,-
2012,8/26,3/11,2/11,-,2/4,1/0
2011,27/33,8/16,19/15,-,-,0/2
2010,26/25,12/13,14/12,-,-,-
2009,24/25,9/7,14/16,1/2,-,-
2008,10/20,3/9,7/11,-,-,-
2007,3/7,2/4,1/3,-,-,-
2006,9/11,1/2,8/9,-,-,-
2005,0/2,0/2,-,-,-,-
