https://www.tennisexplorer.com/res/img/player/WzNqEWYs-Gvbv4pvP.jpeg
Sanchez Manuel
Country: Mexico
Weight: 78 kg
Age: 33 (5. 1. 1991)
Current/Highest rank - singles: 1609. / 455.
Current/Highest rank - doubles: 1308. / 243.
Sex: man
Plays: right
