Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,50/40,5/5,45/35,-,-,-
2024,16/18,0/1,16/17,-,-,-
2023,20/14,1/3,19/11,-,-,-
2021,14/8,4/1,10/7,-,-,-
