Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,32/28,31/26,-,-,-,1/2
2024,5/4,5/4,-,-,-,-
2023,16/12,15/10,-,-,-,1/2
2022,8/9,8/9,-,-,-,-
2021,3/3,3/3,-,-,-,-
