Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,539/307,507/262,9/28,2/2,2/6,19/9
2024,32/20,30/17,1/2,-,1/1,-
2023,36/30,36/26,0/3,-,0/1,-
2022,32/18,31/16,-,-,0/1,1/1
2021,46/27,41/20,3/5,-,1/1,1/1
2020,5/10,3/7,0/3,-,-,2/0
2019,51/29,46/24,1/2,2/2,0/1,2/0
2018,51/23,49/20,0/1,-,0/1,2/1
2017,65/17,63/14,1/2,-,-,1/1
2016,22/18,18/16,0/2,-,-,4/0
2015,28/20,26/17,0/1,-,-,2/2
2014,71/32,68/30,0/1,-,-,3/1
2013,44/19,44/19,-,-,-,-
2012,40/26,36/18,3/6,-,-,1/2
2011,7/6,7/6,-,-,-,-
2010,4/6,4/6,-,-,-,-
2009,3/2,3/2,-,-,-,-
2008,0/1,0/1,-,-,-,-
2007,2/3,2/3,-,-,-,-
