Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,24/39,16/20,8/19,-,-,-
2024,12/20,5/9,7/11,-,-,-
2023,9/14,8/9,1/5,-,-,-
2022,3/5,3/2,0/3,-,-,-
