Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,589/334,568/285,7/13,14/33,0/3,-
2024,14/16,14/16,-,-,-,-
2023,24/10,24/10,-,-,-,-
2022,17/8,17/8,-,-,-,-
2021,10/6,10/5,0/1,-,-,-
2019,7/6,7/6,-,-,-,-
2018,15/11,15/10,0/1,-,-,-
2017,3/6,3/1,-,0/5,-,-
2016,41/14,41/13,-,-,0/1,-
2015,59/19,59/17,-,0/2,-,-
2014,33/26,33/25,-,0/1,-,-
2013,43/32,42/27,1/2,0/2,0/1,-
2012,52/28,52/26,0/1,0/1,-,-
2011,55/29,55/28,-,0/1,-,-
2010,44/20,43/19,-,1/1,-,-
2009,9/22,5/15,2/4,2/2,0/1,-
2008,51/28,46/22,1/1,4/5,-,-
2007,47/28,40/23,3/2,4/3,-,-
2006,42/14,40/6,-,2/8,-,-
2005,23/11,22/8,0/1,1/2,-,-
