Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,162/170,122/121,40/48,0/1,-,-
2024,37/16,29/13,8/3,-,-,-
2023,17/15,17/15,-,-,-,-
2022,26/18,24/16,2/2,-,-,-
2021,9/15,8/14,1/1,-,-,-
2020,4/12,4/12,-,-,-,-
2019,8/11,8/10,0/1,-,-,-
2018,22/25,15/16,7/9,-,-,-
2017,18/24,14/18,4/6,-,-,-
2016,7/11,0/2,7/9,-,-,-
2015,10/14,1/3,9/11,-,-,-
2014,3/8,1/1,2/6,0/1,-,-
2013,1/1,1/1,-,-,-,-
