Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,379/287,95/67,212/169,35/13,37/36,0/2
2024,3/11,2/6,0/3,-,1/2,-
2023,25/20,7/6,16/11,-,2/3,-
2022,28/25,11/9,14/12,-,3/4,-
2021,20/21,6/5,8/11,2/1,4/4,-
2020,7/13,2/4,5/9,-,-,-
2019,38/20,13/4,18/12,0/1,7/3,-
2018,16/21,0/1,14/17,1/1,1/2,-
2017,26/24,4/5,19/13,-,3/5,0/1
2016,37/23,3/3,16/12,17/5,1/3,-
2015,22/27,5/5,12/17,-,5/4,0/1
2014,34/23,4/5,19/14,2/1,9/3,-
2013,27/23,2/4,16/14,8/2,1/3,-
2012,46/19,22/6,19/11,5/2,-,-
2011,20/12,5/2,15/10,-,-,-
2010,25/3,9/1,16/2,-,-,-
2009,5/2,0/1,5/1,-,-,-
