Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,122/289,26/61,88/218,7/8,1/2,-
2024,3/17,2/5,1/10,0/2,-,-
2023,3/28,2/5,1/23,-,-,-
2022,4/25,0/2,4/23,-,-,-
2021,5/22,1/7,4/15,-,-,-
2020,2/11,-,2/11,-,-,-
2019,13/24,2/2,10/20,1/1,0/1,-
2018,23/26,0/2,22/23,-,1/1,-
2017,9/20,2/2,6/16,1/2,-,-
2016,6/8,0/2,5/5,1/1,-,-
2015,10/14,3/6,4/7,3/1,-,-
2014,6/19,2/3,4/16,-,-,-
2013,9/22,3/3,6/19,-,-,-
2012,5/4,-,5/4,-,-,-
2011,2/4,1/2,1/2,-,-,-
2010,1/4,1/3,0/1,-,-,-
2009,2/7,1/5,1/2,-,-,-
2008,4/12,4/5,0/7,-,-,-
2007,7/16,0/5,6/10,1/1,-,-
2006,8/6,2/2,6/4,-,-,-
