Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,276/206,210/166,35/33,-,-,31/7
2024,8/8,8/8,-,-,-,-
2023,44/16,15/9,1/1,-,-,28/6
2022,28/26,18/22,7/3,-,-,3/1
2021,31/15,31/15,-,-,-,-
2020,7/3,7/3,-,-,-,-
2019,16/13,15/11,1/2,-,-,-
2018,32/28,22/14,10/14,-,-,-
2017,26/25,19/19,7/6,-,-,-
2016,23/24,23/23,0/1,-,-,-
2015,39/22,30/16,9/6,-,-,-
2014,13/10,13/10,-,-,-,-
2013,6/8,6/8,-,-,-,-
2012,3/8,3/8,-,-,-,-
