Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,348/239,73/42,244/171,24/23,7/3,-
2023,10/6,5/3,5/3,-,-,-
2022,3/4,-,3/4,-,-,-
2020,0/2,-,0/2,-,-,-
2019,18/15,1/1,17/14,-,-,-
2018,35/25,-,32/22,3/3,-,-
2017,56/22,12/2,36/17,8/3,-,-
2016,19/21,-,18/19,1/2,-,-
2015,35/22,1/1,33/19,1/2,-,-
2014,46/27,1/3,38/18,6/5,1/1,-
2013,22/20,5/5,15/14,2/1,-,-
2012,43/29,12/6,26/20,1/2,4/1,-
2011,23/16,18/9,4/5,1/2,-,-
2010,34/21,18/11,15/8,1/2,-,-
2009,0/3,-,0/2,0/1,-,-
2008,1/3,0/1,1/2,-,-,-
2007,2/2,-,0/1,-,2/1,-
2006,1/1,-,1/1,-,-,-
