Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES Lexington (USA),hard,header
01.08.,Sakamoto R.,1,,,,,,14,3,64%,71% (45/63),60% (21/35),50% (2/4),28% (19/69),39% (17/44),29% (2/7),40,54,64% (9/14),67% (66/98),32% (36/113),48% (102/211),4,0,87% (13/15),13% (2/16),48% (15/31),[],[],[],[],[],0
01.08.,Spizzirri E.,1,,,,,,5,4,61%,72% (50/69),61% (27/44),71% (5/7),29% (18/63),40% (14/35),50% (2/4),20,35,67% (2/3),68% (77/113),33% (32/98),52% (109/211),6,0,88% (14/16),13% (2/15),52% (16/31),[],[],[],[],[],0
29.07.,Sakamoto R.,2,,,,,,7,3,54%,72% (26/36),48% (15/31),0% (0/4),31% (17/55),67% (20/30),42% (5/12),20,37,86% (6/7),61% (41/67),44% (37/85),51% (78/152),4,0,67% (8/12),38% (5/13),52% (13/25),[],[],[],[],[],0
29.07.,Ghibaudo A.,1,,,,,,4,4,65%,69% (38/55),33% (10/30),58% (7/12),28% (10/36),52% (16/31),100% (4/4),16,34,50% (3/6),56% (48/85),39% (26/67),49% (74/152),6,0,62% (8/13),33% (4/12),48% (12/25),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Bloomfield Hills (USA),hard,header
22.07.,Sakamoto R.,1,,,,,,8,3,69%,64% (47/73),42% (14/33),73% (11/15),27% (17/63),61% (19/31),30% (3/10),29,46,67% (8/12),58% (61/106),38% (36/94),49% (97/200),5,1,71% (10/14),21% (3/14),46% (13/28),[],[],[],[],[],0
22.07.,Spizzirri E.,2,,,,,,4,6,67%,73% (46/63),39% (12/31),70% (7/10),36% (26/73),58% (19/33),27% (4/15),22,35,89% (8/9),62% (58/94),42% (45/106),52% (103/200),5,0,79% (11/14),29% (4/14),54% (15/28),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Winnipeg (Canada),hard,header
11.07.,Sakamoto R.,0,,,,,,1,3,59%,61% (22/36),52% (13/25),33% (2/6),31% (11/36),37% (13/35),17% (1/6),20,38,73% (11/15),57% (35/61),34% (24/71),45% (59/132),1,1,60% (6/10),10% (1/10),35% (7/20),[],[],[],[],[],0
11.07.,Blockx A.,2,,,,,,8,3,51%,69% (25/36),63% (22/35),83% (5/6),39% (14/36),48% (12/25),67% (4/6),18,25,40% (2/5),66% (47/71),43% (26/61),55% (73/132),9,0,90% (9/10),40% (4/10),65% (13/20),[],[],[],[],[],0
10.07.,Sakamoto R.,2,,,,,,6,6,68%,70% (50/71),42% (14/33),43% (3/7),33% (22/67),56% (22/39),19% (3/16),17,57,92% (12/13),62% (64/104),41% (41/101),51% (105/205),5,0,73% (11/15),21% (3/14),48% (14/29),[],[],[],[],[],0
10.07.,Nakagawa N.,1,,,,,,5,7,63%,67% (45/67),44% (17/39),81% (13/16),30% (21/71),58% (19/33),57% (4/7),28,61,69% (9/13),59% (60/101),38% (40/104),49% (100/205),5,1,79% (11/14),27% (4/15),52% (15/29),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Cary (USA),hard,header
06.07.,Sakamoto R.,2,,,,,,8,1,64%,83% (29/35),50% (10/20),100% (2/2),28% (10/36),68% (17/25),25% (3/12),28,22,71% (39/55),44% (27/61),57% (66/116),6,0,100% (9/9),38% (3/8),71% (12/17),[],[],[],[],[],0
06.07.,Draxl L.,0,,,,,,4,4,59%,72% (26/36),32% (8/25),75% (9/12),17% (6/35),50% (10/20),0% (0/2),17,26,56% (34/61),29% (16/55),43% (50/116),4,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],0
05.07.,Sakamoto R.,2,,,,,,14,2,67%,82% (46/56),50% (14/28),100% (3/3),23% (12/52),46% (16/35),0% (0/2),34,33,63% (10/16),71% (60/84),32% (28/87),51% (88/171),5,0,100% (12/12),0% (0/12),50% (12/24),[],[],[],[],[],0
05.07.,Kypson P.,0,,,,,,12,3,60%,77% (40/52),54% (19/35),100% (2/2),18% (10/56),50% (14/28),0% (0/3),24,31,57% (4/7),68% (59/87),29% (24/84),49% (83/171),5,4,100% (12/12),0% (0/12),50% (12/24),[],[],[],[],[],0
04.07.,Sakamoto R.,2,,,,,,7,2,59%,68% (34/50),63% (22/35),80% (8/10),22% (8/37),55% (16/29),43% (3/7),21,36,70% (7/10),66% (56/85),36% (24/66),53% (80/151),6,0,82% (9/11),27% (3/11),55% (12/22),[],[],[],[],[],0
04.07.,Schoolkate T.,0,,,,,,10,5,56%,78% (29/37),45% (13/29),57% (4/7),32% (16/50),37% (13/35),20% (2/10),23,36,100% (4/4),64% (42/66),34% (29/85),47% (71/151),4,3,73% (8/11),18% (2/11),45% (10/22),[],[],[],[],[],0
03.07.,Sakamoto R.,2,,,,,,10,1,59%,89% (32/36),52% (13/25),0% (0/1),39% (16/41),45% (13/29),100% (4/4),16,16,75% (6/8),74% (45/61),41% (29/70),56% (74/131),7,0,92% (11/12),33% (4/12),63% (15/24),[],[],[],[],[],0
03.07.,Maloney P.,1,,,,,,9,3,59%,61% (25/41),55% (16/29),0% (0/4),11% (4/36),48% (12/25),100% (1/1),22,34,80% (4/5),59% (41/70),26% (16/61),44% (57/131),3,0,67% (8/12),8% (1/12),38% (9/24),[],[],[],[],[],0
01.07.,Sakamoto R.,2,,,,,,12,4,60%,69% (55/80),51% (27/53),87% (13/15),33% (17/52),47% (22/47),38% (5/13),42,62,65% (13/20),62% (82/133),39% (39/99),52% (121/232),8,0,87% (13/15),33% (5/15),60% (18/30),[],[],[],[],[],0
01.07.,Mejia N.,1,,,,,,3,2,53%,67% (35/52),53% (25/47),62% (8/13),31% (25/80),49% (26/53),13% (2/15),22,50,67% (6/9),61% (60/99),38% (51/133),48% (111/232),2,2,67% (10/15),13% (2/15),40% (12/30),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Sassuolo (Italy),clay,header
18.06.,Sakamoto R.,0,,,,,,5,1,60%,59% (19/32),57% (12/21),40% (2/5),21% (5/24),0% (0/17),0% (0/0),15,33,40% (2/5),58% (31/53),12% (5/41),38% (36/94),2,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],0
18.06.,van Assche L.,2,,,,,,2,0,59%,79% (19/24),100% (17/17),0% (0/0),41% (13/32),43% (9/21),60% (3/5),13,10,100% (1/1),88% (36/41),42% (22/53),62% (58/94),8,0,100% (9/9),38% (3/8),71% (12/17),[],[],[],[],[],0
18.06.,Sakamoto R.,2,,,,,,6,4,64%,66% (45/68),47% (18/38),69% (9/13),33% (27/81),58% (22/38),33% (3/9),38,64,74% (17/23),59% (63/106),41% (49/119),50% (112/225),6,4,71% (10/14),21% (3/14),46% (13/28),[],[],[],[],[],0
18.06.,Guillen Meza A.,1,,,,,,1,3,68%,67% (54/81),42% (16/38),67% (6/9),34% (23/68),53% (20/38),31% (4/13),27,38,67% (6/9),59% (70/119),41% (43/106),50% (113/225),4,0,79% (11/14),29% (4/14),54% (15/28),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Perugia (Italy),clay,header
10.06.,Sakamoto R.,0,,,,,,7,0,67%,64% (21/33),19% (3/16),43% (3/7),28% (9/32),33% (5/15),0% (0/0),49% (24/49),30% (14/47),40% (38/96),4,1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],0
10.06.,Lajovic D.,2,,,,,,2,0,68%,72% (23/32),67% (10/15),0% (0/0),36% (12/33),81% (13/16),57% (4/7),70% (33/47),51% (25/49),60% (58/96),6,0,100% (8/8),50% (4/8),75% (12/16),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Heilbronn (Germany) - Qualification,clay,header
02.06.,Sakamoto R.,2,,,,,,10,1,75%,82% (42/51),47% (8/17),100% (2/2),30% (14/46),47% (16/34),20% (1/5),74% (50/68),38% (30/80),54% (80/148),5,0,100% (11/11),10% (1/10),57% (12/21),[],[],[],[],[],0
02.06.,Rosenkranz M.,0,,,,,,4,1,58%,70% (32/46),53% (18/34),80% (4/5),18% (9/51),53% (9/17),0% (0/2),63% (50/80),26% (18/68),46% (68/148),5,0,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],0
01.06.,Sakamoto R.,2,,,,,,14,3,69%,72% (43/60),56% (15/27),83% (5/6),32% (16/50),62% (18/29),44% (4/9),67% (58/87),43% (34/79),55% (92/166),5,0,92% (12/13),33% (4/12),64% (16/25),[],[],[],[],[],0
01.06.,Diez S.,1,,,,,,2,3,63%,68% (34/50),38% (11/29),56% (5/9),28% (17/60),44% (12/27),17% (1/6),57% (45/79),33% (29/87),45% (74/166),5,1,67% (8/12),8% (1/13),36% (9/25),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Vicenza (Italy) - Qualification,clay,header
25.05.,Sakamoto R.,0,,,,,,3,2,73%,48% (25/52),58% (11/19),60% (6/10),29% (14/48),61% (14/23),10% (1/10),21,29,57% (4/7),51% (36/71),39% (28/71),45% (64/142),4,0,56% (5/9),11% (1/9),33% (6/18),[],[],[],[],[],0
25.05.,Klizan M.,2,,,,,,1,5,68%,71% (34/48),39% (9/23),90% (9/10),52% (27/52),42% (8/19),40% (4/10),29,27,67% (6/9),61% (43/71),49% (35/71),55% (78/142),6,0,89% (8/9),44% (4/9),67% (12/18),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Gwangju (South Korea),hard,header
21.04.,Sakamoto R.,0,,,,,,7,2,66%,79% (45/57),40% (12/30),80% (8/10),24% (12/49),42% (14/33),25% (1/4),66% (57/87),32% (26/82),49% (83/169),3,0,83% (10/12),8% (1/12),46% (11/24),[],[],[],[],[],0
21.04.,Schoolkate T.,2,,,,,,6,5,60%,76% (37/49),58% (19/33),75% (3/4),21% (12/57),60% (18/30),20% (2/10),68% (56/82),34% (30/87),51% (86/169),7,0,92% (11/12),17% (2/12),54% (13/24),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Busan (South Korea),hard,header
15.04.,Sakamoto R.,0,,,,,,9,3,68%,68% (30/44),43% (9/21),25% (1/4),16% (7/43),61% (14/23),50% (1/2),60% (39/65),32% (21/66),46% (60/131),2,0,73% (8/11),9% (1/11),41% (9/22),[],[],[],[],[],0
15.04.,Kubler J.,2,,,,,,11,4,65%,84% (36/43),39% (9/23),50% (1/2),32% (14/44),57% (12/21),75% (3/4),68% (45/66),40% (26/65),54% (71/131),8,0,91% (10/11),27% (3/11),59% (13/22),[],[],[],[],[],0
ATP - SINGLES Miami (USA),hard,header
20.03.,Sakamoto R.,0,,,,,,5,0,77%,66% (39/59),50% (9/18),71% (5/7),193 km/h,160 km/h,16% (7/43),42% (5/12),0% (0/1),16,42,56% (5/9),62% (48/77),22% (12/55),45% (60/132),2,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],0
20.03.,Muller A.,2,,,,,,2,1,78%,84% (36/43),58% (7/12),100% (1/1),182 km/h,152 km/h,34% (20/59),50% (9/18),29% (2/7),11,19,67% (2/3),78% (43/55),38% (29/77),55% (72/132),8,0,100% (10/10),20% (2/10),60% (12/20),[],[],[],[],[],0
ATP - SINGLES Miami (USA) - Qualification,hard,header
18.03.,Sakamoto R.,2,,,,,,20,0,76%,88% (44/50),56% (9/16),0% (0/0),192 km/h,188 km/h,23% (11/47),43% (10/23),50% (1/2),34,26,86% (6/7),60% (15/25),47% (9/19),55% (24/44),7,0,75% (9/12),33% (4/12),54% (13/24),[],[],[],[],[],0
18.03.,Duckworth J.,0,,,,,,6,0,67%,77% (36/47),57% (13/23),50% (1/2),190 km/h,179 km/h,12% (6/50),44% (7/16),0% (0/0),13,21,75% (3/4),53% (10/19),40% (10/25),45% (20/44),3,0,67% (8/12),25% (3/12),46% (11/24),[],[],[],[],[],0
18.03.,Sakamoto R.,2,,,,,,15,0,71%,83% (48/58),54% (13/24),0% (0/1),199 km/h,170 km/h,23% (10/43),47% (20/43),57% (4/7),41,44,73% (8/11),74% (61/82),35% (30/86),54% (91/168),9,0,93% (14/15),27% (4/15),60% (18/30),[],[],[],[],[],0
18.03.,Majchrzak K.,1,,,,,,3,1,50%,77% (33/43),53% (23/43),43% (3/7),186 km/h,178 km/h,17% (10/58),46% (11/24),100% (1/1),15,28,50% (5/10),65% (56/86),26% (21/82),46% (77/168),1,0,73% (11/15),7% (1/15),40% (12/30),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Cap Cana (Dominican Republic),hard,header
14.03.,Sakamoto R.,0,,,,,,1,5,70%,63% (24/38),50% (8/16),25% (1/4),10% (3/31),38% (5/13),0% (0/0),59% (32/54),18% (8/44),41% (40/98),2,1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],0
14.03.,Mensik J.,2,,,,,,6,1,70%,90% (28/31),62% (8/13),0% (0/0),37% (14/38),50% (8/16),75% (3/4),82% (36/44),41% (22/54),59% (58/98),8,0,100% (9/9),33% (3/9),67% (12/18),[],[],[],[],[],0
13.03.,Sakamoto R.,2,,,,,,7,3,66%,72% (34/47),46% (11/24),80% (4/5),43% (19/44),53% (10/19),30% (3/10),63% (45/71),46% (29/63),55% (74/134),8,0,90% (9/10),33% (3/9),63% (12/19),[],[],[],[],[],0
13.03.,Nanda G.,0,,,,,,0,1,70%,57% (25/44),47% (9/19),70% (7/10),28% (13/47),54% (13/24),20% (1/5),54% (34/63),37% (26/71),45% (60/134),2,1,67% (6/9),10% (1/10),37% (7/19),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Cap Cana (Dominican Republic) - Qualification,hard,header
12.03.,Sakamoto R.,2,,,,,,9,2,58%,71% (24/34),64% (16/25),0% (0/2),30% (13/44),67% (22/33),36% (4/11),68% (40/59),45% (35/77),55% (75/136),8,0,80% (8/10),36% (4/11),57% (12/21),[],[],[],[],[],0
12.03.,Miedler L.,0,,,,,,6,1,57%,70% (31/44),33% (11/33),64% (7/11),29% (10/34),36% (9/25),100% (2/2),55% (42/77),32% (19/59),45% (61/136),2,0,64% (7/11),20% (2/10),43% (9/21),[],[],[],[],[],0
11.03.,Sakamoto R.,2,,,,,,2,0,66%,87% (20/23),75% (9/12),0% (0/0),53% (9/17),75% (12/16),100% (5/5),83% (29/35),64% (21/33),74% (50/68),7,0,100% (7/7),83% (5/6),92% (12/13),[],[],[],[],[],0
11.03.,Arribage T.,0,,,,,,2,3,52%,47% (8/17),25% (4/16),0% (0/5),13% (3/23),25% (3/12),0% (0/0),36% (12/33),17% (6/35),26% (18/68),3,1,17% (1/6),0% (0/7),8% (1/13),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Lugano (Switzerland),hard,header
