Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
20.08.,Forti F.,2,,,,,,"['2', '0', '4', '0', '6', '2']","['4', '2', '6', '2']",[],[],[],1.29
20.08.,Perego G.,0,,,,,,"['2', '5']",[],[],[],[],3.32
06.08.,Juarez F.,2,,,,,,"['1', '2', '2', '3', '4', '3']","['1', '0', '4', '1', '6', '3']",[],[],[],1.32
06.08.,Perego G.,0,,,,,,"['2', '0', '3', '1']","['2', '4']",[],[],[],3.14
05.08.,Perego G.,2,,,,,,"['2', '0', '5', '1']","['6', '5']",[],[],[],1.38
05.08.,Paolini A.,0,,,,,,[],[],[],[],[],2.85
20.11.2024,Mesarovic M.,2,,,,,,"['3', '1']","['1', '2']","['5', '5']",[],[],3.30
20.11.2024,Perego G.,1,,,,,,"['4', '5']","['2', '0']","['2', '1']",[],[],1.30
17.10.2024,Kim A.,2,,,,,,"['5', '3', '6', '4']","['2', '0', '5', '1']",[],[],[],1.18
17.10.2024,Perego G.,0,,,,,,"['4', '5']","['2', '5']",[],[],[],4.33
16.10.2024,Perego G.,2,,,,,,"['4', '4']",[],"['5', '4']",[],[],1.20
16.10.2024,Patil R.,1,,,,,,"['1', '0']","['6', '4']",[],[],[],4.14
07.08.2024,Pennaforti G.,2,,,,,,"['1', '0', '5', '4']","['2', '1', '6', '3']",[],[],[],1.27
07.08.2024,Perego G.,0,,,,,,"['2', '2']",[],[],[],[],3.51
06.08.2024,Perego G.,2,,,,,,"['1', '0', '2', '1']","['7', '5']",[],[],[],1.10
06.08.2024,Fossati C.,0,,,,,,"['1', '1', '5', '5']",[],[],[],[],6.09
