Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,70/40,23/14,19/15,-,-,28/11
2024,14/8,14/8,-,-,-,-
2023,22/7,6/2,5/4,-,-,11/1
2022,18/11,-,1/1,-,-,17/10
2021,12/10,2/2,10/8,-,-,-
2020,4/3,1/1,3/2,-,-,-
2019,0/1,0/1,-,-,-,-
