Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,160/106,23/16,124/82,11/6,2/2,-
2024,36/22,-,36/22,-,-,-
2023,29/24,1/2,22/19,4/1,2/2,-
2022,26/15,3/3,20/11,3/1,-,-
2021,22/14,11/8,11/6,-,-,-
2020,8/5,-,8/4,0/1,-,-
2019,15/9,8/3,7/6,-,-,-
2018,14/6,-,10/5,4/1,-,-
2017,4/5,-,4/4,0/1,-,-
2016,6/5,-,6/4,0/1,-,-
2015,0/1,-,0/1,-,-,-
